player_id,year,hometown,homestate,high_school,previous_school_clean,year_clean,hs_clean,hometown_clean,state_clean,country_clean
5745,First Year,Novato,California,Salesian College Preparatory,,Freshman,Salesian College Preparatory,"NOVATO, CA",CA,USA
5731,Junior,Davis,California,Davis Senior HS,,Junior,Davis Senior HS,"DAVIS, CA",CA,USA
5734,Senior,Saratoga,California,St. Francis HS,,Senior,St. Francis HS,"SARATOGA, CA",CA,USA
5746,First Year,Chico,California,Chico HS,,Freshman,Chico HS,"CHICO, CA",CA,USA
5739,Senior,La Cañada,California,La Cañada HS,,Senior,La Cañada HS,"LA CAÑADA, CA",CA,USA
5748,First Year,Santa Clarita,California,Chaminade College Prep,,Freshman,Chaminade College Prep,"SANTA CLARITA, CA",CA,USA
5742,Senior,Oakland,California,Campolindo HS,,Senior,Campolindo HS,"OAKLAND, CA",CA,USA
5743,Sophomore,Bakersfield,California,Frontier HS,,Sophomore,Frontier HS,"BAKERSFIELD, CA",CA,USA
5735,Senior,San Diego,California,Santa Fe Christian HS,,Senior,Santa Fe Christian HS,"SAN DIEGO, CA",CA,USA
5732,Sophomore,Ventura,California,Buena HS,,Sophomore,Buena HS,"VENTURA, CA",CA,USA
5733,Senior,Woodland,California,Pioneer HS,,Senior,Pioneer HS,"WOODLAND, CA",CA,USA
5749,First Year,San Diego,California,Pacific Ridge HS,,Freshman,Pacific Ridge HS,"SAN DIEGO, CA",CA,USA
5740,Junior,Petaluma,California,Montgomery HS,,Junior,Montgomery HS,"PETALUMA, CA",CA,USA
5747,First Year,San Jose,California,Valley Christian HS,,Freshman,Valley Christian HS,"SAN JOSE, CA",CA,USA
9582,Junior,Ripon,Wis,Ripon,,Junior,Ripon,"RIPON, WIS",WI,USA
9594,Freshman,Aurora,Ill,Waubonsie Valley,,Freshman,Waubonsie Valley,"AURORA, ILL",IL,USA
9579,Senior,Indianapolis,Ind,Ben Davis,,Senior,Ben Davis,"INDIANAPOLIS, IND",IN,USA
9577,Senior,Evergreen Park,Ill,Evergreen Park,,Senior,Evergreen Park,"EVERGREEN PARK, ILL",IL,USA
9575,Senior,West Bend,Wis,West Bend West,,Senior,West Bend West,"WEST BEND, WIS",WI,USA
9581,Senior,Niles,Mich,Brandywine,,Senior,Brandywine,"NILES, MICH",MI,USA
9595,Freshman,Williams Bay,Wis,Marian Central Catholic,,Freshman,Marian Central Catholic,"WILLIAMS BAY, WIS",WI,USA
9596,Freshman,Farmington Hills,Mich,Farmington Hills,,Freshman,Farmington Hills,"FARMINGTON HILLS, MICH",MI,USA
9584,Junior,Menasha,Wis,Menasha,,Junior,Menasha,"MENASHA, WIS",WI,USA
