player_id,name,height_clean,height_ft,height_in,total_inches
15941,Sophie Gerber,"6'0""",6,0,72
15947,Charlotte Whittaker,"6'3""",6,3,75
2905,Mossi Staples,"5'7""",5,7,67
2902,Alexandria Hamilton,"5'7""",5,7,67
3003,Lucia Reos,"5'7""",5,7,67
2906,Nadjy Amira,"6'4""",6,4,76
2907,Jewel Watkins,"5'11""",5,11,71
2900,Hope Evans,"5'5""",5,5,65
2908,Charia Roberts,"6'0""",6,0,72
2898,Jaia Alexander,"5'11""",5,11,71
2899,Colleen Bucknor,"5'11""",5,11,71
3002,LaShawna Robinson,"6'1""",6,1,73
2903,Khya Jenkins,"6'0""",6,0,72
2901,Cortney Gardner,"5'7""",5,7,67
2904,Jalynda Salley,"6'4""",6,4,76
21959,Olivia Owens,"6'4""",6,4,76
21960,Kennedi Perkins,"5'6""",5,6,66
21953,Dyaisha Fair,"5'5""",5,5,65
21963,Nyah Wilson,"5'8""",5,8,68
21954,Teisha Hyman,"5'8""",5,8,68
21966,Georgia Woolley,"6'0""",6,0,72
21955,Ava Irvin,"5'8""",5,8,68
21958,Lexi McNabb,"5'7""",5,7,67
21957,Cheyenne McEvans,"5'9""",5,9,69
21962,Asia Strong,"6'2""",6,2,74
21964,Saniaa Wilson,"6'0""",6,0,72
21965,Kyra Wood,"6'3""",6,3,75
21956,Dariauna Lewis,"6'1""",6,1,73
21961,Alaina Rice,"5'8""",5,8,68
12594,Nayo Lear,"5'10""",5,10,70
12590,Taisiya Kozlova,"6'1""",6,1,73
12591,Anyssa Jones,"5'10""",5,10,70
12593,Arianna Smith,"6'2""",6,2,74
12592,Sydney Freeman,"5'8""",5,8,68
12480,Shannon Wheeler,"6'0""",6,0,72
12595,Saija Cleveland,"6'1""",6,1,73
12477,Mariah Perez,"6'3""",6,3,75
12478,Maliya Perry,"6'0""",6,0,72
12472,Destiny Bohanon,"5'10""",5,10,70
12623,Eleanor Monyek,"6'0""",6,0,72
8871,Hannah Nilges,"5'7""",5,7,67
8868,Taylor McAulay,"5'11""",5,11,71
8865,Katie Dinnebier,"5'8""",5,8,68
8869,Megan Meyer,"5'8""",5,8,68
8867,Ashley Iiams,"6'1""",6,1,73
8870,Anna Miller,"6'3""",6,3,75
8889,Ava Hawthorne,"5'9""",5,9,69
8890,Taedyn Gray,"6'2""",6,2,74
8863,Courtney Becker,"6'0""",6,0,72
8866,Sarah Beth Gueldner,"5'9""",5,9,69
8862,Maggie Bair,"6'3""",6,3,75
8864,Grace Berg,"6'0""",6,0,72
18541,Celeste Taylor,"5'11""",5,11,71
18536,Vanessa de Jesus,"5'8""",5,8,68
18544,Ashlon Jackson,"6'0""",6,0,72
18534,Elizabeth Balogun,"6'1""",6,1,73
18545,Taya Corosdale,"6'3""",6,3,75
18539,Jordyn Oliver,"5'10""",5,10,70
18542,Lee Volker,"5'11""",5,11,71
18546,Emma Koabel,"5'11""",5,11,71
18547,Kennedy Brown,"6'6""",6,6,78
18548,Shay Bollin,"6'3""",6,3,75
18538,Imani Lewis,"6'1""",6,1,73
18549,Reigan Richardson,"5'11""",5,11,71
18535,Shayeann Day-Wilson,"5'6""",5,6,66
19035,Bo Shaffer,"5'7""",5,7,67
18537,Jiselle Havas,"5'10""",5,10,70
18550,Mia Heide,"6'3""",6,3,75
18540,Emma Schmidt,"5'9""",5,9,69
11353,Aniya Walker,"6'2""",6,2,74
11350,Megan McConnell,"5'7""",5,7,67
