player_id,name,height_clean,height_ft,height_in,total_inches
16062,Taylor Hooten,"5'3""",5,3,63
15898,Jacie Evans,"5'10""",5,10,70
15951,Kathryn Echols,"5'7""",5,7,67
15938,Hailey Mason,"5'7""",5,7,67
15954,Ella Grace Thompson,"5'5""",5,5,65
15957,Tate Wells,"5'6""",5,6,66
16060,Itziar Ugarte,"5'11""",5,11,71
15889,Kendrick Bailey,"5'5""",5,5,65
15896,Lexie Davis,"5'8""",5,8,68
15902,Patricija Peric,"6'0""",6,0,72
15895,Regan Crawford,"5'8""",5,8,68
16063,Rory Geer,"5'11""",5,11,71
15940,Harley Harbour,"5'10""",5,10,70
15905,Jorey Thorman,"5'7""",5,7,67
15899,Sage Hawley,"6'4""",6,4,76
15900,Aubrey Isbell,"5'10""",5,10,70
5334,Sonni Martin,"5'8""",5,8,68
5337,Jadah Pickens,"5'6""",5,6,66
5336,Eryka Patton,"5'9""",5,9,69
